number	file_name	vulnerability	severity	is_sensitively_vulnerable	CWE/CVE/New	confidence_score	sensitive_function_responsible	standard_or_custom	explanation	code_snippet
1073	hammers.news.js	Improper Request Validation Leading to Unintended Network Requests	Medium	false	CWE-20	N/A	N/A	N/A	{The vulnerability arises from insufficient validation of incoming fetch requests, particularly when handling requests with 'only-if-cached' and 'same-origin' modes. However, no sensitive JavaScript function (like importScripts, eval, or dynamic code execution) is misused here. The issue is more about logic and request handling rather than direct misuse of a sensitive function.}	```self.addEventListener('fetch'```
1074	readynetsolutions.com.js	Insecure Cache Key Generation	Medium	false	CWE-327	N/A	N/A	N/A	{The cache key generation uses concatenated string values (SITE_VERSION and RUNTIME_VERSION) without cryptographic hashing or entropy, making it predictable and potentially exploitable for cache poisoning or replay attacks. However, this is not caused by misuse of a sensitive function like importScripts or eval, but rather by weak key derivation logic.}	```const SITE_PAGES_CACHE_NAME = prefix + 'site-pages-' + (SITE_VERSION + '-' + RUNTIME_VERSION);```
1075	readynetsolutions.com.js	Regex Injection Vulnerability	High	true	New	N/A	RegExp	standard	{The function `template` constructs a RegExp dynamically using `Object.keys(data).join('|')` without sanitizing or validating the input data. This allows an attacker to inject arbitrary regex patterns (e.g., via crafted data keys) leading to ReDoS or unintended behavior. The `RegExp` constructor is a standard JavaScript function, and its misuse here is directly responsible for the vulnerability.}	```var regex = new RegExp('\\<(' + Object.keys(data).join('|') + ')\\>', 'g');```
1076	readynetsolutions.com.js	Insecure No-CORS Prefetch	Medium	false	CWE-922	N/A	N/A	N/A	{The `fetch` call uses `mode: 'no-cors'` which prevents the browser from sending credentials and limits response usage, but this is not due to misuse of a sensitive function. The issue stems from improper configuration of the fetch request, not from dynamic or untrusted input being passed to a sensitive function.}	```const response = await fetch(new Request(url, { mode: 'no-cors' }));```
1077	readynetsolutions.com.js	Weak URL Blacklist Check	Medium	false	CWE-20	N/A	N/A	N/A	{The blacklist check uses `includes` on the URL string, which is vulnerable to bypasses (e.g., URL encoding, path traversal). This is a logic flaw in the blacklist implementation, not caused by misuse of a sensitive function such as `eval` or `importScripts`.}	```return PAGES_CACHE_BLACKLIST.every(blacklistedUrl => !request.url.includes(blacklistedUrl));```
1078	readynetsolutions.com.js	Empty Fetch Handler Override	Medium	false	CWE-476	N/A	N/A	N/A	{The `fetch` event listener is defined but contains no logic, which may lead to unintended behavior or bypass of expected caching logic. This is a code omission issue, not caused by misuse of a sensitive function.}	```self.addEventListener('fetch', () => {});```
1079	apkfab.com.js	Offline Logic Flaw Leading to Incorrect Resource Handling	Medium	false	New	N/A	N/A	N/A	{The vulnerability arises from incorrect offline handling logic: when offline, the service worker attempts to respond with a cached offline page regardless of the requested resource. This is not a result of misuse of a sensitive function, but rather a logical flaw in the fetch event handler. The code does not use any sensitive functions like importScripts, eval, or dynamic script loading with untrusted input.}	```self.addEventListener('fetch', event => { if (!self.navigator.onLine) { event.respondWith(caches.match(event.request).then(response => { return caches.match('/offline.html'); })); } });```
1080	awdeliverynet.com.js	Regular Expression Denial of Service (ReDoS)	High	true	CWE-400	10	RegExp	standard	{The code constructs regular expressions from user-controlled or untrusted JSON strings using `new RegExp(e)`, where `e` is derived from `JSON.parse()` of a hardcoded string. Although the string is hardcoded, the use of `new RegExp()` with untrusted or complex patterns (e.g., `(?:/.*)?`) can lead to ReDoS if the pattern is maliciously crafted. In this case, the pattern `(?:/.*)?` is inherently inefficient and can cause exponential backtracking when matched against long strings, leading to a denial of service. The sensitive function `RegExp` is misused because it is being used with potentially complex patterns without validation or sanitization, even if the input is hardcoded.}	"```const c = JSON.parse('[""awdeliverynet\\\\.com(?:/.*)?/ola/services/.*"",""awdeliverynet\\\\.com/ola/meetings/.*"",""/api/"",""https://api\\\\.ola\\\\.godaddy\\\\.com"",""https://de8a3f45-9576-46fe-a247-67b71d113a21\\\\.onlinestore\\\\.godaddy\\\\.com"",""/t/1/tl/event"",""google-analytics\\\\.com/collect"",""calendar\\\\.apps\\\\.(dev-|test-)?secureserver\\\\.net""]').map(e => new RegExp(e));```"
1081	kannadapdf.com.js	Open Redirect via Notification Data	High	true	CWE-602	9	clients.openWindow	standard	{The function clients.openWindow() is used to open a new window or tab with a URL derived from event.notification.data.url, which is user-controlled via push notifications. Since the URL is not validated or sanitized, an attacker can craft a notification payload to redirect users to arbitrary domains, leading to open redirect vulnerabilities.}	N/A
1082	kannadapdf.com.js	SSRF via Untrusted API URL	High	true	CWE-918	9	fetch	standard	{The fetch function is used with options.api_url, which is a hardcoded value. However, the vulnerability arises because the URL is dynamically constructed using the domain derived from the user-supplied url parameter via getDomainAndHostname(url). If the url parameter is controlled by an attacker, it can be manipulated to point to internal or external endpoints, enabling SSRF attacks.}	N/A
1083	kannadapdf.com.js	Insecure Storage of Sensitive Data	Medium	false	CWE-311	N/A	N/A	N/A	{The vulnerability stems from storing sensitive data (e.g., notification tokens) in IndexedDB without encryption. While the writeData function uses objectStore.put, which is a standard API, the issue is not due to misuse of the function itself but rather the lack of encryption or secure storage practices. Therefore, it is not classified as a sensitive function misuse.}	N/A
1084	telugubindu.com.js	Hardcoded Sensitive Information in Service Worker	High	false	N/A	N/A	N/A	N/A	{The vulnerability arises from hardcoded sensitive credentials (API key, project ID, etc.) in the firebaseConfig object, not from misuse of a sensitive JavaScript function.}	```firebase.initializeApp({ ...options.firebaseConfig });```
1085	telugubindu.com.js	Open Redirect via Notification Click Handler	High	true	N/A	N/A	clients.openWindow	standard	{The clients.openWindow function is used with a dynamic targetUrl derived from notification data, which is user-controlled. This allows an attacker to craft a notification that redirects users to arbitrary URLs, leading to open redirect.}	```clients.openWindow(targetUrl);```
1086	telugubindu.com.js	SSRF via Unvalidated URL in getDomainAndHostname	Medium	true	N/A	N/A	new URL	standard	{The new URL constructor is used with a user-supplied URL without validation, allowing an attacker to craft URLs pointing to internal or external resources, potentially leading to SSRF if the URL is used in subsequent requests.}	```const urlObj = new URL(url);```
1087	telugubindu.com.js	Cleartext Storage of Sensitive Data in IndexedDB	Medium	true	N/A	N/A	objectStore.put	standard	{The objectStore.put function is used to store sensitive data (e.g., notification tokens) in IndexedDB without encryption, exposing it to local attackers or unauthorized access.}	```objectStore.put({ id: key, data: value });```
1088	cccama.com.js	Vulnerable Cache Storage of HTTP Resources	Medium	false	N/A	N/A	N/A	N/A	{The vulnerability arises from caching HTTP resources without validating their security or origin, but no sensitive function is misused. The issue is more about policy than function misuse.}	```const filesToCache = [startPage, offlinePage];```
1089	cccama.com.js	Incorrect Regular Expression Handling in Range Requests	High	true	N/A	N/A	RegExp.exec	standard	{The regular expression /^bytes\=(\d+)\-$/g is used to parse range headers, but it is misused by not properly handling edge cases or malformed inputs, potentially leading to incorrect parsing or unexpected behavior. The exec method is standard but its misuse here causes the vulnerability.}	```var pos = Number(/^bytes\=(\d+)\-$/g.exec(event.request.headers.get('range'))[1]);```
1090	cccama.com.js	Flawed URL Matching Logic for Cache Exclusions	Medium	false	N/A	N/A	N/A	N/A	{The issue stems from incorrect logic in checkNeverCacheList, where the function uses this.match(url) without ensuring the regex is properly applied. This is a logic flaw, not misuse of a sensitive function.}	```if (this.match(url)) { return false; }```
1091	cccama.com.js	Caching of Non-GET Requests Without Proper Validation	Low	false	N/A	N/A	N/A	N/A	{The code caches non-GET requests without validation, but this is a policy issue, not misuse of a sensitive function. The fetch API is used correctly here.}	```if (e.request.method !== 'GET') { e.respondWith(fetch(e.request)...```
1092	bwt.com.js	Dynamic Script Inclusion via User-Controlled Input	High	true	CWE-94	10	importScripts	standard	{The importScripts() function is used with a URL constructed by concatenating a base URL with location.search, which is user-controlled. This allows an attacker to manipulate the query string to inject arbitrary scripts, leading to remote code execution within the service worker context.}	```importScripts(`https://bwt.app.baqend.com/v1/speedkit/sw.js${location.search}`);```
1093	karboom.io.js	Loading untrusted external script via importScripts	High	true	CWE-444	10	importScripts	standard	{The importScripts() function is a standard JavaScript API used in Service Workers to load and execute external scripts. When used with a hardcoded URL pointing to an external domain (e.g., van.najva.com), it introduces a high-risk vulnerability if the script source is not fully trusted or controlled. Although the URL is hardcoded here, the vulnerability arises because the script is loaded from an external, potentially untrusted source, which could be compromised or modified by an attacker, leading to arbitrary code execution within the service worker context. This is a classic case of insecure external script loading, classified under CWE-444 (Unrestricted Upload of File with Dangerous Type, though more accurately, this is CWE-434: Unrestricted File Upload or CWE-918: Server-Side Request Forgery in context of script loading). However, since the URL is hardcoded, the risk is mitigated by the lack of dynamic input, but the source itself remains untrusted.}	```importScripts('https://van.najva.com/static/js/scripts/karboom-website-32809-6330b133-e950-4316-9c24-dc513367ac18-service-worker.js');```
